aboard
above
across
after
against
along
amid
among
anti
around
before
behind
below
beneath
beside
besides
between
beyond
during
following
from
in
inside
into
near
off
on
onto
opposite
outside
over
past
through
to
toward
towards
under
underneath
until
up
upon
versus
via
with
within
without
walk
run
jump
turn
talk
eat
sleep
sit
read
point
stand
smile
drink
listen
play
writing
sing
look
climb
crying
open
